SamplePointID,t551_CreatedByWhom,year,BioRegion,Tenure,CrownDamage,t500_VicGridXGIS,t500_VicGridYGIS
PE2440N2520,andrewclark,2019,VICTORIAN MIDLANDS,PARK/RESERVE,33.125,2440000.0,2520000.0
PE2440N2550,andrewclark,2021,VICTORIAN MIDLANDS,PARK/RESERVE,6.875,2440000.0,2550000.0
PE2440N2628,charleschikono,2020,RIVERINA,PARK/RESERVE,15.5,2440000.0,2628000.0
PE2440N2632,andrewclark,2018,RIVERINA,STATE FOREST,14.375,2440000.0,2632000.0
PE2440N2636,andrewclark,2019,RIVERINA,STATE FOREST,13.0,2440000.0,2636000.0
PE2442N2630,andrewclark,2018,RIVERINA,STATE FOREST,13.0,2442000.0,2630000.0
PE2442N2632,andrewclark,2018,RIVERINA,STATE FOREST,12.5,2442000.0,2632000.0
PE2448N2516,andrewclark,2018,VICTORIAN MIDLANDS,STATE FOREST,20.0,2448000.0,2516000.0
PE2448N2532,andrewclark,2019,VICTORIAN MIDLANDS,STATE FOREST,13.333333333333334,2448000.0,2532000.0
PE2450N2510,andrewclark,2018,VICTORIAN MIDLANDS,PARK/RESERVE,15.0,2450000.0,2510000.0
PE2460N2440,andrewclark,2018,VICTORIAN MIDLANDS,PARK/RESERVE,16.25,2460000.0,2440000.0
PE2470N2530,andrewclark,2019,VICTORIAN MIDLANDS,PARK/RESERVE,10.0,2470000.0,2530000.0
PE2480N2534,andrewclark,2019,RIVERINA,STATE FOREST,10.625,2480000.0,2534000.0
PE2496N2532,andrewclark,2016,VICTORIAN MIDLANDS,STATE FOREST,10.625,2496000.0,2532000.0
PE2496N2612,andrewclark,2019,RIVERINA,PARK/RESERVE,20.0,2496000.0,2612000.0
PE2496N2620,andrewclark,2019,RIVERINA,PARK/RESERVE,13.75,2496000.0,2620000.0
PE2504N2620,andrewclark,2018,RIVERINA,PARK/RESERVE,14.375,2504000.0,2620000.0
PE2504N2622,andrewclark,2017,RIVERINA,PARK/RESERVE,11.875,2504000.0,2622000.0
PE2504N2628,andrewclark,2018,RIVERINA,PARK/RESERVE,19.375,2504000.0,2628000.0
PE2512N2628,charleschikono,2020,RIVERINA,PARK/RESERVE,20.0,2512000.0,2628000.0
PE2516N2448,charleschikono,2019,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,10.0,2516000.0,2448000.0
PE2516N2460,andrewclark,2020,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,18.333333333333332,2516000.0,2460000.0
PE2516N2628,andrewclark,2018,RIVERINA,PARK/RESERVE,10.625,2516000.0,2628000.0
PE2552N2400,charleschikono,2018,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,12.5,2552000.0,2400000.0
PE2552N2424,charleschikono,2019,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,14.375,2552000.0,2424000.0
PE2552N2436,andrewclark,2020,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,8.75,2552000.0,2436000.0
PE2552N2442,charleschikono,2017,SOUTH EASTERN HIGHLANDS,STATE FOREST,10.0,2552000.0,2442000.0
PE2552N2460,charleschikono,2019,SOUTH EASTERN HIGHLANDS,STATE FOREST,11.666666666666666,2552000.0,2460000.0
PE2558N2622,andrewclark,2016,RIVERINA,PARK/RESERVE,8.571428571428571,2558000.0,2622000.0
PE2570N2406,andrewclark,2020,SOUTH EASTERN HIGHLANDS,STATE FOREST,10.625,2570000.0,2406000.0
PE2572N2612,andrewclark,2018,RIVERINA,PARK/RESERVE,10.0,2572000.0,2612000.0
PE2576N2612,andrewclark,2019,RIVERINA,PARK/RESERVE,12.5,2576000.0,2612000.0
PE2580N2480,charleschikono,2017,VICTORIAN MIDLANDS,PARK/RESERVE,15.0,2580000.0,2480000.0
PE2584N2460,charleschikono,2019,AUSTRALIAN ALPS,STATE FOREST,13.0,2584000.0,2460000.0
PE2584N2532,charleschikono,2021,VICTORIAN MIDLANDS,STATE FOREST,16.428571428571427,2584000.0,2532000.0
PE2584N2544,charleschikono,2020,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,24.0,2584000.0,2544000.0
PE2588N2406,andrewclark,2019,SOUTH EASTERN HIGHLANDS,STATE FOREST,12.777777777777779,2588000.0,2406000.0
PE2588N2442,charleschikono,2017,SOUTH EASTERN HIGHLANDS,STATE FOREST,13.0,2588000.0,2442000.0
PE2588N2460,charleschikono,2021,SOUTH EASTERN HIGHLANDS,STATE FOREST,17.142857142857142,2588000.0,2460000.0
PE2588N2472,charleschikono,2017,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,14.375,2588000.0,2472000.0
PE2592N2428,andrewclark,2020,AUSTRALIAN ALPS,STATE FOREST,11.875,2592000.0,2428000.0
PE2596N2568,andrewclark,2021,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,20.833333333333332,2596000.0,2568000.0
PE2600N2420,charleschikono,2019,AUSTRALIAN ALPS,PARK/RESERVE,16.5,2600000.0,2420000.0
PE2600N2510,andrewclark,2019,VICTORIAN MIDLANDS,PARK/RESERVE,13.125,2600000.0,2510000.0
PE2600N2532,andrewclark,2018,VICTORIAN MIDLANDS,STATE FOREST,11.875,2600000.0,2532000.0
PE2604N2580,andrewclark,2018,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,11.875,2604000.0,2580000.0
PE2604N2584,andrewclark,2019,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,11.666666666666666,2604000.0,2584000.0
PE2606N2406,charleschikono,2019,SOUTH EASTERN HIGHLANDS,STATE FOREST,12.777777777777779,2606000.0,2406000.0
PE2606N2424,andrewclark,2020,SOUTH EASTERN HIGHLANDS,STATE FOREST,10.0,2606000.0,2424000.0
PE2608N2292,andrewclark,2020,SOUTH EAST COASTAL PLAIN,PARK/RESERVE,18.75,2608000.0,2292000.0
PE2608N2436,charleschikono,2018,AUSTRALIAN ALPS,STATE FOREST,13.0,2608000.0,2436000.0
PE2608N2444,charleschikono,2019,AUSTRALIAN ALPS,STATE FOREST,13.333333333333334,2608000.0,2444000.0
PE2608N2532,andrewclark,2019,VICTORIAN MIDLANDS,STATE FOREST,20.0,2608000.0,2532000.0
PE2608N2572,andrewclark,2021,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,30.0,2608000.0,2572000.0
PE2608N2604,andrewclark,2018,RIVERINA,PARK/RESERVE,13.0,2608000.0,2604000.0
PE2616N2268,charleschikono,2021,FLINDERS,PARK/RESERVE,15.0,2616000.0,2268000.0
PE2616N2288,andrewclark,2020,FLINDERS,PARK/RESERVE,10.0,2616000.0,2288000.0
PE2616N2412,andrewclark,2020,AUSTRALIAN ALPS,STATE FOREST,10.625,2616000.0,2412000.0
PE2616N2428,andrewclark,2021,AUSTRALIAN ALPS,STATE FOREST,9.444444444444445,2616000.0,2428000.0
PE2616N2452,andrewclark,2017,AUSTRALIAN ALPS,STATE FOREST,10.625,2616000.0,2452000.0
PE2620N2264,charleschikono,2021,FLINDERS,PARK/RESERVE,1.25,2620000.0,2264000.0
PE2620N2268,andrewclark,2017,FLINDERS,PARK/RESERVE,33.125,2620000.0,2268000.0
PE2620N2272,charleschikono,2017,FLINDERS,PARK/RESERVE,10.0,2620000.0,2272000.0
PE2620N2284,charleschikono,2021,FLINDERS,PARK/RESERVE,7.777777777777778,2620000.0,2284000.0
PE2620N2288,andrewclark,2017,FLINDERS,PARK/RESERVE,15.0,2620000.0,2288000.0
PE2624N2276,andrewclark,2020,FLINDERS,PARK/RESERVE,16.666666666666668,2624000.0,2276000.0
PE2624N2280,charleschikono,2021,FLINDERS,PARK/RESERVE,5.0,2624000.0,2280000.0
PE2624N2292,charleschikono,2019,FLINDERS,PARK/RESERVE,5.0,2624000.0,2292000.0
PE2624N2388,charleschikono,2018,SOUTH EASTERN HIGHLANDS,STATE FOREST,15.0,2624000.0,2388000.0
PE2624N2400,charleschikono,2021,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,5.0,2624000.0,2400000.0
PE2624N2406,charleschikono,2019,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,30.0,2624000.0,2406000.0
PE2624N2424,andrewclark,2020,SOUTH EASTERN HIGHLANDS,STATE FOREST,10.714285714285714,2624000.0,2424000.0
PE2624N2472,charleschikono,2021,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,15.0,2624000.0,2472000.0
PE2624N2492,andrewclark,2019,AUSTRALIAN ALPS,STATE FOREST,12.5,2624000.0,2492000.0
PE2624N2604,charleschikono,2020,RIVERINA,PARK/RESERVE,31.666666666666668,2624000.0,2604000.0
PE2628N2288,charleschikono,2021,FLINDERS,PARK/RESERVE,10.909090909090908,2628000.0,2288000.0
PE2630N2480,charleschikono,2021,AUSTRALIAN ALPS,PARK/RESERVE,13.88888888888889,2630000.0,2480000.0
PE2632N2420,andrewclark,2021,AUSTRALIAN ALPS,STATE FOREST,11.25,2632000.0,2420000.0
PE2632N2460,charleschikono,2019,AUSTRALIAN ALPS,STATE FOREST,10.454545454545455,2632000.0,2460000.0
PE2636N2460,charleschikono,2018,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,9.5,2636000.0,2460000.0
PE2636N2496,andrewclark,2019,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,14.375,2636000.0,2496000.0
PE2636N2576,andrewclark,2018,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,11.875,2636000.0,2576000.0
PE2640N2316,charleschikono,2017,SOUTH EAST COASTAL PLAIN,STATE FOREST,10.0,2640000.0,2316000.0
PE2640N2328,charleschikono,2019,SOUTH EAST COASTAL PLAIN,STATE FOREST,19.5,2640000.0,2328000.0
PE2640N2470,charleschikono,2018,AUSTRALIAN ALPS,PARK/RESERVE,11.25,2640000.0,2470000.0
PE2640N2568,charleschikono,2020,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,5.0,2640000.0,2568000.0
